Geo Type,Geography,Year,percent,value
Region,Addison,2022,0.234,908
Region,Bennington,2022,0.383,"1,701"
Region,Caledonia and Southern Essex,2022,0.373,"1,368"
Region,Central Vermont,2022,0.286,"2,109"
Region,Chittenden,2022,0.226,"4,131"
Region,Franklin Grand Isle,2022,0.246,"1,917"
Region,Lamoille Valley,2022,0.257,989
Region,Northern Windsor and Orange,2022,0.319,"1,814"
Region,Orleans and Northern Essex,2022,0.399,"1,383"
Region,Rutland,2022,0.274,"1,775"
Region,Southeast Vermont,2022,0.403,"1,551"
Region,Springfield,2022,0.347,"1,190"
State,Vermont,2022,0.289,"20,836"
Region,Addison,2021,0.214,832
Region,Bennington,2021,0.379,"1,705"
Region,Caledonia and Southern Essex,2021,0.414,"1,601"
Region,Central Vermont,2021,0.304,"2,265"
Region,Chittenden,2021,0.237,"4,499"
Region,Franklin Grand Isle,2021,0.240,"1,907"
Region,Lamoille Valley,2021,0.287,"1,126"
Region,Northern Windsor and Orange,2021,0.320,"1,938"
Region,Orleans and Northern Essex,2021,0.391,"1,348"
Region,Rutland,2021,0.270,"1,769"
Region,Southeast Vermont,2021,0.411,"1,755"
Region,Springfield,2021,0.337,"1,143"
State,Vermont,2021,0.295,"21,888"
Region,Addison,2020,0.225,874
Region,Bennington,2020,0.349,"1,484"
Region,Caledonia and Southern Essex,2020,0.412,"1,593"
Region,Central Vermont,2020,0.341,"2,509"
Region,Chittenden,2020,0.246,"4,550"
Region,Franklin Grand Isle,2020,0.216,"1,748"
Region,Lamoille Valley,2020,0.318,"1,255"
Region,Northern Windsor and Orange,2020,0.295,"1,651"
Region,Orleans and Northern Essex,2020,0.442,"1,540"
Region,Rutland,2020,0.294,"1,871"
Region,Southeast Vermont,2020,0.419,"1,675"
Region,Springfield,2020,0.388,"1,375"
State,Vermont,2020,0.304,"22,125"
Region,Addison,2019,0.244,985
Region,Bennington,2019,0.418,1806
Region,Caledonia and Southern Essex,2019,0.404,1647
Region,Central Vermont,2019,0.333,2460
Region,Chittenden,2019,0.256,4645
Region,Franklin Grand Isle,2019,0.253,2045
Region,Lamoille Valley,2019,0.355,1411
Region,Northern Windsor and Orange,2019,0.310,1728
Region,Orleans and Northern Essex,2019,0.399,1327
Region,Rutland,2019,0.292,1889
Region,Southeast Vermont,2019,0.383,1488
Region,Springfield,2019,0.400,1514
State,Vermont,2019,0.314,22945
Region,Addison,2018,0.268,1068
Region,Bennington,2018,0.443,1876
Region,Caledonia and Southern Essex,2018,0.377,1521
Region,Central Vermont,2018,0.332,2512
Region,Chittenden,2018,0.274,4998
Region,Franklin Grand Isle,2018,0.232,1852
Region,Lamoille Valley,2018,0.398,1662
Region,Northern Windsor and Orange,2018,0.324,1821
Region,Orleans and Northern Essex,2018,0.376,1285
Region,Rutland,2018,0.304,2007
Region,Southeast Vermont,2018,0.379,1483
Region,Springfield,2018,0.452,1835
State,Vermont,2018,0.324,23920
Region,Addison,2017,0.300,1238
Region,Bennington,2017,0.430,1833
Region,Caledonia and Southern Essex,2017,0.359,1481
Region,Central Vermont,2017,0.350,2754
Region,Chittenden,2017,0.279,5183
Region,Franklin Grand Isle,2017,0.280,2203
Region,Lamoille Valley,2017,0.375,1593
Region,Northern Windsor and Orange,2017,0.335,1861
Region,Orleans and Northern Essex,2017,0.384,1301
Region,Rutland,2017,0.311,2066
Region,Southeast Vermont,2017,0.397,1545
Region,Springfield,2017,0.463,1874
State,Vermont,2017,0.334,24932
Region,Addison,2016,0.342,1425
Region,Bennington,2016,0.437,1909
Region,Caledonia and Southern Essex,2016,0.410,1720
Region,Central Vermont,2016,0.342,2768
Region,Chittenden,2016,0.276,5192
Region,Franklin Grand Isle,2016,0.289,2348
Region,Lamoille Valley,2016,0.379,1571
Region,Northern Windsor and Orange,2016,0.318,1790
Region,Orleans and Northern Essex,2016,0.404,1426
Region,Rutland,2016,0.356,2393
Region,Southeast Vermont,2016,0.442,1739
Region,Springfield,2016,0.462,1885
State,Vermont,2016,0.345,26166
Region,Addison,2015,0.353,1486
Region,Bennington,2015,0.494,2137
Region,Caledonia and Southern Essex,2015,0.4,1661
Region,Central Vermont,2015,0.285,2281
Region,Chittenden,2015,0.261,4995
Region,Franklin Grand Isle,2015,0.322,2547
Region,Lamoille Valley,2015,0.388,1644
Region,Northern Windsor and Orange,2015,0.355,1955
Region,Orleans and Northern Essex,2015,0.44,1530
Region,Rutland,2015,0.381,2627
Region,Southeast Vermont,2015,0.449,1762
Region,Springfield,2015,0.481,2107
State,Vermont,2015,0.351,26732
Region,Addison,2014,0.368,1567
Region,Bennington,2014,0.491,2213
Region,Caledonia and Southern Essex,2014,0.415,1765
Region,Central Vermont,2014,0.293,2453
Region,Chittenden,2014,0.267,5190
Region,Franklin Grand Isle,2014,0.336,2651
Region,Lamoille Valley,2014,0.393,1702
Region,Northern Windsor and Orange,2014,0.360,2064
Region,Orleans and Northern Essex,2014,0.479,1627
Region,Rutland,2014,0.414,2807
Region,Southeast Vermont,2014,0.452,1920
Region,Springfield,2014,0.467,1998
State,Vermont,2014,0.361,27957
Region,Addison,2013,0.392,1741
Region,Bennington,2013,0.485,2203
Region,Caledonia and Southern Essex,2013,0.456,2013
Region,Central Vermont,2013,0.282,2356
Region,Chittenden,2013,0.239,4695
Region,Franklin Grand Isle,2013,0.334,2650
Region,Lamoille Valley,2013,0.390,1716
Region,Northern Windsor and Orange,2013,0.326,1902
Region,Orleans and Northern Essex,2013,0.460,1588
Region,Rutland,2013,0.434,2943
Region,Southeast Vermont,2013,0.433,1902
Region,Springfield,2013,0.425,1739
State,Vermont,2013,0.351,27448