Geo type,Geography,Category,Age,School Year,Value
State,Vermont,IDEA C,<1,2023,121
State,Vermont,IDEA C,1,2023,330
State,Vermont,IDEA C,2,2023,642
State,Vermont,IDEA B,3,2023,296
State,Vermont,IDEA B,4,2023,207
State,Vermont,IDEA B,5,2023,655
State,Vermont,IDEA B,6,2023,809
State,Vermont,IDEA B,7,2023,877
State,Vermont,IDEA B,8,2023,1064
State,Vermont,IDEA C,<1,2022,111
State,Vermont,IDEA C,1,2022,297
State,Vermont,IDEA C,2,2022,617
State,Vermont,IDEA B,3,2022,244
State,Vermont,IDEA B,4,2022,322
State,Vermont,IDEA B,5,2022,711
State,Vermont,IDEA B,6,2022,781
State,Vermont,IDEA B,7,2022,909
State,Vermont,IDEA B,8,2022,976
State,Vermont,IDEA C,<1,2021,89
State,Vermont,IDEA C,1,2021,292
State,Vermont,IDEA C,2,2021,518
State,Vermont,IDEA B,3,2021,223
State,Vermont,IDEA B,4,2021,289
State,Vermont,IDEA B,5,2021,676
State,Vermont,IDEA B,6,2021,836
State,Vermont,IDEA B,7,2021,836
State,Vermont,IDEA B,8,2021,922
State,Vermont,IDEA C,<1,2020,131
State,Vermont,IDEA C,1,2020,329
State,Vermont,IDEA C,2,2020,623
State,Vermont,IDEA B,3,2020,287
State,Vermont,IDEA B,4,2020,326
State,Vermont,IDEA B,5,2020,783
State,Vermont,IDEA B,6,2020,845
State,Vermont,IDEA B,7,2020,866
State,Vermont,IDEA B,8,2020,1013
State,Vermont,IDEA C,<1,2019,116
State,Vermont,IDEA C,1,2019,298
State,Vermont,IDEA C,2,2019,649
State,Vermont,IDEA B,3,2019,268
State,Vermont,IDEA B,4,2019,435
State,Vermont,IDEA B,5,2019,760
State,Vermont,IDEA B,6,2019,765
State,Vermont,IDEA B,7,2019,908
State,Vermont,IDEA B,8,2019,973
State,Vermont,IDEA C,<1,2018,103
State,Vermont,IDEA C,1,2018,382
State,Vermont,IDEA C,2,2018,749
State,Vermont,IDEA B,3,2018,362
State,Vermont,IDEA B,4,2018,532
State,Vermont,IDEA B,5,2018,709
State,Vermont,IDEA B,6,2018,805
State,Vermont,IDEA B,7,2018,878
State,Vermont,IDEA B,8,2018,928