Geo type,Geography,Year,Value
State,Vermont,2020-1,"62,426"
State,Vermont,2020-3,"62,363"
State,Vermont,2020-6,"62,788"
State,Vermont,2020-9,"64,251"
State,Vermont,2021-1,"64,815"
State,Vermont,2021-3,"65,277"
State,Vermont,2021-6,"65,526"
State,Vermont,2021-9,"66,575"
State,Vermont,2022-1,"66,871"
State,Vermont,2022-3,"66,971"
State,Vermont,2022-6,"67,156"
State,Vermont,2022-9,"67,396"
State,Vermont,2023-1,"67,627"
State,Vermont,2023-3,"67,705"
State,Vermont,2023-6,"67,355"
State,Vermont,2023-9,"63,419"
State,Vermont,2024-1,"63,470"
State,Vermont,2024-6,"59,639"
State,Vermont,2024-3,"61,599"
State,Vermont,2024-9,"59,359"